"snp" "gene" "estimate" "std.error" "t.value" "p"
"115" 12 5 -0.0768167842923274 0.0832729920931384 -0.922469366855584 0.376073853996432
"76" 8 6 -0.114393142061165 0.126292213959299 -0.905781429233878 0.384462554379607
"85" 9 5 0.077594998204403 0.0857341138631283 0.905065611668663 0.384825283738677
"82" 9 2 0.07548410495438 0.0877634533588472 0.860085856532338 0.408096355414397
"111" 12 1 -0.0803407477724078 0.0972258019304744 -0.826331551678627 0.426176471524855
"12" 2 2 0.091802962713682 0.112960892449392 0.812696861038086 0.433628950547722
"52" 6 2 0.0710128288987367 0.0887319962039949 0.800306900968148 0.440475211389868
"123" 13 3 -0.0915369787768106 0.115956910008079 -0.789405122734236 0.446557337767494
"108" 11 8 -0.0786955124273279 0.103959509697411 -0.756982335299408 0.464966078156861
"109" 11 9 -0.0638747324213995 0.0867373816234831 -0.736415271314879 0.476889812414315
"35" 4 5 -0.0578802680903688 0.0787437213045933 -0.735046136141809 0.47769030500646
"72" 8 2 0.0830700891565176 0.114537684018073 0.725264264496651 0.483433826777309
"23" 3 3 0.0912279992312569 0.125925091898543 0.724462439183756 0.483906517356324
"143" 15 3 -0.100134318524336 0.138588233555489 -0.722531169893606 0.485046209415871
"11" 2 1 -0.0881147586611742 0.122159471850345 -0.721309263428398 0.485768144290533
"25" 3 5 -0.0815832067789763 0.113198174460992 -0.720711329201604 0.486121661410863
"30" 3 10 -0.0936369657002018 0.130233273330607 -0.718994181022365 0.4871377745939
"53" 6 3 -0.0708468267896819 0.0995187092389156 -0.711894550597508 0.491352813125653
"103" 11 3 0.069478603983671 0.0986834656419667 0.704055168023245 0.496032915415338
"13" 2 3 0.084611455370788 0.120784006863838 0.70051869918649 0.498153041505168
"88" 9 8 0.0646516109306416 0.0973500060400651 0.664115119869985 0.52029427240248
"5" 1 5 -0.0586261575310551 0.0893396734163923 -0.656216385052267 0.525173967554571
"42" 5 2 -0.0666921541796751 0.103561869211265 -0.643983685188457 0.532783598364688
"60" 6 10 0.0654049291644687 0.101992530684884 0.641271755149831 0.534479206834673
"141" 15 1 -0.0855904347649293 0.136503154064142 -0.627021663724419 0.543439790867314
"4" 1 4 0.0668676703613369 0.108777456190218 0.614719930979139 0.551243406735099
"105" 11 5 -0.041078011158035 0.0675932518160788 -0.607723553082018 0.555709483542611
"15" 2 5 -0.0667071343987527 0.110941875877387 -0.601280029485686 0.559840422754537
"51" 6 1 -0.056853581109943 0.094914403004734 -0.598998458717665 0.561307202402836
"24" 3 4 0.0815423138131439 0.139154550934086 0.58598380912291 0.569714466816366
"90" 9 10 -0.049503681843679 0.0874103139715595 -0.566336849674123 0.582534818207204
"10" 1 10 0.0595769327512559 0.105890020125866 0.562630290186362 0.584970632915922
"80" 8 10 0.0710484494367142 0.128888787251421 0.551238404455784 0.592490622587153
"65" 7 5 0.0580734003895579 0.107686045066053 0.539284364598369 0.600435770761243
"69" 7 9 -0.0712669769846092 0.132640162704547 -0.537295608897547 0.601762900361266
"114" 12 4 -0.0493240078520372 0.0978495472297275 -0.504080082621498 0.624148300897029
"45" 5 5 -0.0520383921176818 0.109257096023047 -0.476293019052097 0.643185719916431
"149" 15 9 -0.0634599258660604 0.133335812210178 -0.47594059550954 0.643428937225989
"16" 2 6 0.0620043925791734 0.131612910071939 0.471111781855458 0.646765818605393
"37" 4 7 -0.0411127017546436 0.0894538751359826 -0.459596654612743 0.65475586569454
"84" 9 4 0.0472483772631506 0.105083350212811 0.44962762576055 0.661709802171994
"57" 6 7 0.0408360769406598 0.0918908318351236 0.444397728534339 0.665371358579714
"99" 10 9 -0.0508863217494539 0.115145042157158 -0.441932373258421 0.66710057519804
"150" 15 10 -0.0637808277230948 0.146076708638406 -0.436625580611733 0.670829639735626
"18" 2 8 -0.0587014248049145 0.135693489166897 -0.432603105464509 0.673662404411977
"137" 14 7 -0.0391374402050264 0.0922642700360379 -0.424188477183416 0.679605344924082
"2" 1 2 0.0399752381302671 0.0969781724273104 0.412208614884245 0.688105550103843
"34" 4 4 -0.0409135295196222 0.102600219630173 -0.398766490628352 0.697697069078694
"77" 8 7 0.0441691341322666 0.113006079623624 0.390856264365384 0.703367357605161
"107" 11 7 -0.0334471595728135 0.0878908249614627 -0.380553483113613 0.710780985394812
"93" 10 3 -0.0421891220516966 0.111160402682008 -0.379533728142254 0.711516493093626
"124" 13 4 0.0476313969259869 0.126531875295217 0.376437927714704 0.713751243159088
"135" 14 5 -0.0324168384638092 0.0876544476054468 -0.369825369383708 0.718533993829341
"75" 8 5 -0.035901814511208 0.102095628888498 -0.351648889399736 0.731745185050795
"120" 12 10 -0.0390507605443363 0.114278875104705 -0.341714603933203 0.739004597552268
"31" 4 1 -0.029711460436331 0.0887325552868324 -0.334842835758389 0.744041728757439
"145" 15 5 0.038782613087931 0.117718503810584 0.329452140763993 0.748001988890822
"38" 4 8 -0.0200393978335059 0.0631482376061183 -0.317338988278658 0.756928465608072
"55" 6 5 0.0268248666565927 0.0889407353649006 0.301603832558133 0.768579401636388
"81" 9 1 -0.0286627239016946 0.0969611759002728 -0.295610316557784 0.773033163582189
"139" 14 9 0.0287758798283948 0.0987597225398815 0.291372627305372 0.776187344471344
"144" 15 4 0.0434983334476985 0.151170213200563 0.287744076870406 0.778891488400068
"54" 6 4 -0.0272580683876974 0.0984988137053752 -0.276734991643965 0.78711448295678
"56" 6 6 0.0262437747163334 0.102964803514365 0.25488102556008 0.803517411748129
"94" 10 4 0.0266096532367461 0.115480954810915 0.230424603609451 0.821991133254795
"101" 11 1 0.0207920796147222 0.0967630899964131 0.214876143532549 0.833795677389043
"41" 5 1 0.0227753172149714 0.121573212084889 0.187338286324691 0.854806160522107
"78" 8 8 -0.0230478078724135 0.136009821200422 -0.169456938248971 0.868513373921571
"148" 15 8 0.0246552149172646 0.148528360111166 0.165996681703153 0.871171255197625
"32" 4 2 -0.0147063091715367 0.0899288611045485 -0.163532696743925 0.873064898449506
"110" 11 10 -0.0163236017972594 0.105223752355083 -0.155132291254684 0.879527021063975
"102" 11 2 0.013861940300698 0.0920666036098198 0.150564262796586 0.883044918315963
"121" 13 1 0.0168462767963169 0.11387415169531 0.147937671065089 0.885068888419735
"9" 1 9 0.0131219434822252 0.0918490348932827 0.142864249988814 0.888980721066803
"39" 4 9 -0.0134797834397046 0.0989077974892081 -0.136286357414595 0.894057150423917
"49" 5 9 0.0161411571707678 0.119626958741893 0.134929094081493 0.895105231007059
"22" 3 2 -0.0146531572387232 0.122648043224333 -0.119473224794312 0.9070545170789
"142" 15 2 -0.0157722910106565 0.133879971024543 -0.117809190500684 0.908342509106685
"122" 13 2 -0.0130889224067588 0.117311619682225 -0.111573963791603 0.913171100902344
"64" 7 4 -0.0140512723133697 0.131302192946624 -0.107014757316976 0.916704103052293
"19" 2 9 -0.0117661596813864 0.116367867091054 -0.101111758559429 0.921281211208804
"119" 12 9 0.00852533698702425 0.101171365138888 0.0842663037641199 0.934358750401606
"128" 13 8 0.0106368757844031 0.131375072251326 0.0809657083503197 0.936923582385471
"87" 9 7 0.00555508683280482 0.0916968213501091 0.0605810185240212 0.952779554983043
"71" 8 1 -0.00728205032095614 0.124017510044167 -0.0587179207062192 0.954229915806719
"126" 13 6 0.00575969282373695 0.114528792233656 0.0502903480548918 0.960792587474859
"44" 5 4 0.00568665981343101 0.128824771780556 0.0441425956734301 0.965581873292637
"7" 1 7 -0.0039841765524403 0.0979485104869513 -0.0406762342033887 0.968282911866366
"133" 14 3 -0.00317974289477741 0.0993708103491531 -0.0319987618457064 0.975046266811996
"79" 8 9 -0.0027719204041859 0.125047763625913 -0.0221668930639835 0.982711822041078
"67" 7 7 0.00211113964454567 0.10806125951569 0.0195365078475617 0.984762981478128
"58" 6 8 -0.00161474134079419 0.103279859597121 -0.0156346198290068 0.987805858776162
"97" 10 7 -0.00150726549267841 0.103632720162016 -0.014544301165906 0.988656179339813
"138" 14 8 -0.00064182212199079 0.0980465160478313 -0.00654609819769303 0.9948942172884
